BBANDS_60:Real Middle Band,high,STOCH_daily:SlowD,close,STOCH_daily:SlowK,open,BBANDS_60:Real Lower Band,EMA_60:EMA,AROON_60:Aroon Down,OBV_daily:OBV,low,AROON_60:Aroon Up,RSI_60:RSI,price_change_1m,WMA_60:WMA,price_change_1d,SMA_60:SMA,MACD_daily:MACD,volume,BBANDS_60:Real Upper Band,date,MACD_daily:MACD_Hist,price_change_1w,AD_daily:Chaikin A/D,ADX_60:ADX,volume_change_1w,MACD_daily:MACD_Signal,volume_change_1m,CCI_60:CCI,volume_change_1d,
,39.82,,39.49,,39.5,,,,500.0,39.47,,,-29.0453279311,,-10.5343124842,,,500.0,,2013-10-03,,-33.9832869081,-442.8571,,2144.6,,10629.2,,1329.4,
,37.0,,35.33,,37.0,,,,-6647.0,34.3,,,-16.2185111803,,-0.367959241438,,,7147.0,,2013-10-04,,-25.5873195584,-2136.9608,,69.8055128026,,419.378760319,,66.6013712047,
,36.26,,35.2,,33.99,,,,-18554.0,33.06,,,-19.7159090909,,-11.5625,,,11907.0,,2013-10-07,,-20.4545454545,1881.6517,,17.7290669354,,65.7764340304,,-26.0938943479,
,35.54,,31.13,,35.02,,,,-27354.0,31.13,,,-5.94282043045,,-4.43302280758,,,8800.0,,2013-10-08,,-14.070028911,-6918.3483,,86.8068181818,,21.3863636364,,228.602272727,
,30.9,,29.75,,30.9,,,,-56271.0,28.08,,,-11.8319327731,,-3.19327731092,,,28917.0,,2013-10-09,,5.68067226891,-1586.1356,,65.6326728222,,142.666943321,,-67.3029705709,
,30.61,,28.8,,29.52,,,,-65726.0,28.58,,,-7.8125,,-9.47916666667,,,9455.0,,2013-10-10,,4.44444444444,-8991.776,,74.510840825,,631.89846642,,18.6991010048,
,27.8,,26.07,,27.8,,,,-76949.0,25.79,,,1.41925584964,,0.84388185654,,,11223.0,,2013-10-11,,27.9631760644,-17087.97,,311.075470017,,195.883453622,,8.13507974695,
,27.31,,26.29,,27.06,,,,-64813.0,25.8,,,-7.18904526436,,6.5043742868,,,12136.0,,2013-10-14,,51.3503233169,-21347.6256,,505.075807515,,488.068556361,,15.5075807515,
,28.0,10.2597,28.0,17.1639,25.86,,,,-50795.0,25.75,,,-10.2142857143,,-4.46428571429,,,14018.0,,2013-10-15,,30.3571428571,-7329.6256,,249.17249251,,194.207447567,,17.2706520188,
,27.8499,15.1955,26.75,23.1312,27.19,,,,-67234.0,26.09,,,2.39252336449,,17.5327102804,,,16439.0,,2013-10-16,,52.5981308411,-11438.6751,,170.989719569,,256.426789951,,191.355921893,
,32.65,29.735,31.44,48.9097,30.45,,,,-19338.0,30.19,,,-16.2531806616,,-4.32569974555,,,47896.0,,2013-10-17,,32.5842875318,-10659.8783,,35.6271922499,,-12.6043928512,,-65.5503591114,
,32.128,42.4352,30.08,55.2645,31.0001,,,,-35838.0,29.77,,,-16.9581117021,,10.9042553191,,,16500.0,,2013-10-18,,35.6502659574,-22821.4559,,53.3757575758,,117.115151515,,179.606060606,
,33.74,61.4427,33.36,80.1538,31.0,,,,10297.0,31.0,,,-27.3081534772,,19.2745803357,,,46135.0,,2013-10-21,,7.01438848921,10516.9747,,2.62924027311,,-31.9757234204,,59.1676601279,
,40.21,73.4753,39.79,85.0077,36.47,,,,83729.0,36.42,,,-47.5998994722,,-8.26840914803,,,73432.0,,2013-10-22,,-9.2234229706,67673.8085,,-20.4515742456,,16.4519555507,,-33.3437738316,
,39.23,83.5798,36.5,85.5777,38.94,,,,34782.0,36.5,,,-44.0821917808,,11.8356164384,,,48947.0,,2013-10-23,,-15.3150684932,18726.8085,,25.8994422539,,33.7160602284,,-8.98727194721,
,41.74,85.0622,40.82,84.6011,39.24,,,,79330.0,38.41,,,-52.964233219,,2.1178343949,,,44548.0,,2013-10-24,,-31.357177854,38659.6974,,20.422914609,,35.5638861453,,45.8202388435,
,42.19,84.7552,41.6845,84.0868,39.59,,,,144290.0,38.908,,,-55.187179887,,-2.11325552663,,,64960.0,,2013-10-25,,-28.9903921122,83609.1672,,-42.8571428571,,43.7807881773,,-61.042179803,
,42.98,84.5204,40.8036,84.8733,41.6,,,,118983.0,40.5,,,-56.9645815565,,-12.5077199071,,,25307.0,,2013-10-28,,-30.7414051701,64498.3005,,-22.0018176789,,58.3988619749,,87.0944797882,
,40.5,74.5636,35.7,54.7308,39.83,,,,71635.0,35.56,,,-51.4355742297,,1.17647058824,,,47348.0,,2013-10-29,,-17.9831932773,19833.9928,,-77.4393849793,,62.1082199882,,23.3716313255,
,38.92,58.1964,36.12,34.9851,37.86,,,,130049.0,32.22,,,-46.1517165006,,-14.4241417497,,,58414.0,,2013-10-30,,-27.380952381,29424.351,,20.1287362619,,-26.663128702,,5.4952579861,
,33.76,34.49,30.91,13.7541,32.35,,,,68425.0,30.52,,,-50.3396958913,,-9.34972500809,,,61624.0,,2013-10-31,,-14.1054674863,-17364.2416,,12.2955342075,,97.4311956381,,-12.946254706,
,30.27,20.9877,28.02,14.224,29.92,,,,14779.0,27.51,,,-51.4989293362,,5.63882940757,,,53646.0,,2013-11-01,,-5.63882940757,-51184.546,,-38.0997651269,,314.3179361,,-30.8056518659,
,29.69,11.8278,29.6,7.5053,28.54,,,,51899.0,27.7,,,-49.4932432432,,-4.52702702703,,,37120.0,,2013-11-04,,-17.5675675676,-17422.1339,,92.2629310345,,507.78825431,,-46.8238146552,
,29.42,10.1366,28.26,8.6803,29.42,,,,32160.0,27.5,,,-52.5477707006,,3.6093418259,,,19739.0,,2013-11-05,,-11.0403397028,-21534.4256,,108.936622929,,509.362176402,,-45.883783373,
,29.75,11.0818,29.28,17.0596,29.52,,,,42842.0,29.01,,,-55.0887978142,,-10.4166666667,,,10682.0,,2013-11-06,,-6.45491803279,-24421.4526,,448.52087624,,827.785058978,,556.918180116,
,28.03,13.4341,26.23,14.5623,27.62,,,,-27330.0,25.85,,,-46.7784979032,,1.21997712543,,,70172.0,,2013-11-07,,0.381242851697,-70129.8196,,-40.3480020521,,32.1624009576,,-1.3837428034,
,26.86,20.4357,26.55,29.6853,24.95,,,,41871.0,23.08,,,-40.4143126177,,-0.414312617702,,,69201.0,,2013-11-08,,-5.91713747646,-12279.2481,,-48.2319619659,,181.305183451,,-52.013699224,
,26.558,27.0821,26.44,36.9987,25.86,,,,8664.0,24.45,,,-44.5915279879,,-7.71558245083,,,33207.0,,2013-11-11,,-8.28290468986,17210.0801,,-5.49281777938,,192.477489686,,114.918541271,
,26.61,35.8045,24.4,40.7296,25.6,,,,-62704.0,23.8,,,-40.9840163934,,3.03278688525,,,71368.0,,2013-11-12,,-14.5491803279,-23680.4822,,19.8198071965,,48.1392220603,,-42.2121959422,
,25.68,38.3296,25.14,37.2604,24.8,,,,-21462.0,24.688,,,-40.692124105,,8.94988066826,,,41242.0,,2013-11-13,,-18.814638027,-27339.0467,,58.6974443528,,143.353862567,,42.071189564,
,27.9,42.755,27.39,50.2751,26.73,,,,37131.0,26.11,,,-44.1767068273,,-3.87002555677,,,58593.0,,2013-11-14,,-29.9014238773,-2134.2366,,3.06862594508,,11.1361425426,,-28.5597255645,
,28.0,50.4311,26.33,63.7578,28.0,,,,-4728.0,26.2441,,,-45.2335738701,,-5.13102924421,,,41859.0,,2013-11-15,,-29.0543106722,-39897.6866,,123.130031773,,29.2529682983,,-14.4174490552,
,25.9,57.7586,24.979,59.2429,25.25,,,,-40552.0,24.2201,,,-44.1530885944,,-2.91845149926,,,35824.0,,2013-11-18,,-29.700948797,-43354.4819,,11.8970522555,,347.141581063,,-12.3967172845,
,25.209,51.2671,24.25,30.8005,24.84,,,,-71935.0,24.09,,,-46.1855670103,,-14.0206185567,,-1.5322,31383.0,,2013-11-19,-0.8918,-28.5051546392,-65762.8975,,144.575088424,-0.6404,300.675524966,,172.481916961,
,24.0,34.3525,20.85,13.0142,22.99,,,,-157448.0,20.3218,,,-35.587529976,,-2.1103117506,,-1.9312,85513.0,,2013-11-20,-1.0327,-6.71462829736,-126716.0766,,-49.9035234409,-0.8986,-1.36002713038,,-23.4619297651,
,20.72,17.5543,20.41,8.848,20.61,,,,-222898.0,19.01,,,-36.8936795688,,-5.92846643802,,-2.3265,65450.0,,2013-11-21,-1.1423,-24.7917687408,-84996.4859,,85.8899923606,-1.1842,3.40870893812,,-7.72956455309,
,21.3263,10.0885,19.2,8.4032,20.63,,,,-283289.0,19.152,,,-26.4583333333,,-2.70833333333,,-2.5983,60391.0,,2013-11-22,-1.1313,-29.21875,-142721.094,,268.043251478,-1.467,11.3973936514,,54.6588067758,
,19.44,9.6559,18.68,11.7163,18.38,,,,-376689.0,17.3599,,,-23.8415417559,,-5.99571734475,,-2.9246,93400.0,,2013-11-25,-1.1661,-19.9678800857,-117571.6589,,141.553533191,-1.7585,-15.5331905782,,-57.0813704497,
,18.42,9.2165,17.56,7.5299,18.39,,,,-416775.0,17.45,,,-13.2118451025,,-1.26708428246,,-3.1398,40086.0,,2013-11-26,-1.105,-23.6332574032,-148565.9888,,200.059871277,-2.0348,80.7389113406,,91.475826972,
,18.18,8.9892,17.3375,7.7214,18.08,,,,-493530.0,17.2,,,-16.5392934391,,12.1845710166,,-3.2925,76755.0,,2013-11-27,-1.0062,-24.1528478731,-203782.5959,,29.1199270406,-2.2863,0.987557813823,,-44.1873493583,
,19.64,11.8476,19.45,20.2914,18.14,,,,-450691.0,18.0,,,-19.794344473,,-21.0796915167,,-3.3108,42839.0,,2013-11-29,-0.8196,-28.2262210797,-170869.7057,,116.487312962,-2.4912,193.30049721,,184.00522888,
,17.74,16.5825,15.35,21.7347,17.54,,,,-572356.0,15.01,,,18.8925081433,,-11.4657980456,,-3.526,121665.0,,2013-12-02,-0.8278,3.06188925081,-262229.8705,,60.0016438581,-2.6982,69.6034192249,,82.6860641927,
,15.3,20.8833,13.59,20.6239,14.81,,,,-794621.0,13.59,,,34.1427520235,,10.0073583517,,-3.7676,222265.0,,2013-12-03,-0.8556,7.79985283297,-484494.8705,,-56.3030616606,-2.9121,-36.5230693092,,1.50541020853,
,15.5,17.5731,14.95,10.3607,14.29,,,,-569010.0,13.4901,,,22.6755852843,,-10.3010033445,,-3.922,225611.0,,2013-12-04,-0.8079,-3.67959866221,-382358.72,,-53.1388097212,-3.1141,-60.3326078959,,-46.6861101631,
,14.48,13.0543,13.41,8.1783,13.6,,,,-689292.0,13.36,,,33.7807606264,,-1.93885160328,,-4.0086,120282.0,,2013-12-05,-0.7156,11.1856823266,-491901.2557,,-16.5594186994,-3.293,11.4622304252,,-17.6052942252,
,14.52,9.0255,13.15,8.5375,14.0,,,,-788398.0,13.1,,,26.7680608365,,6.15969581749,,-4.0515,99106.0,,2013-12-06,-0.6069,16.2737642586,-584027.9599,,-34.2945936674,-3.4447,7.57673602002,,-6.42241640264,
,14.149,9.7616,13.96,12.569,13.44,,,,-695657.0,13.35,,,12.7507163324,,13.323782235,,-4.019,92741.0,,2013-12-09,-0.4595,3.29512893983,-535161.9261,,-41.661185452,-3.5596,113.719929697,,109.902847716,
,16.38,20.3508,15.82,39.9459,15.79,,,,-500991.0,15.65,,,13.4007585335,,-7.39570164349,,-3.7643,194666.0,,2013-12-10,-0.1638,-11.8204804046,-639161.57,,-17.7134168268,-3.6005,-9.96732865524,,-50.1078770818,
